°üÃø¼Ò¸í:°æÆ÷´ëÇØ¼ö¿åÀå
À§µµ:37.808972
°æµµ:128.931889
°üÃø½Ã°£	À¯¼Ó(cm/s)	À¯Çâ(16points)	À¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(m)	À¯ÀÇÆÄÁÖ±â(sec)	ÃÖ´ëÆÄ°í(m)	ÃÖ´ëÆÄÁÖ±â(sec)	Ç³¼Ó(m/s)	Ç³Çâ(16points)	Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	½ÃÁ¤(m)	ÆÄÇâ(deg)	
2023/03/01 08:30:00	18.3	ºÏºÏ¼­	335	9.79	0.35	5.8	0.49	5.0	2.0	¼­³²¼­	247	8.3	1020.8	-	90	
2023/03/01 08:35:00	18.7	ºÏºÏ¼­	339	9.75	0.35	5.0	0.55	4.5	1.9	¼­³²¼­	256	8.6	1020.7	-	14	
2023/03/01 08:40:00	21.3	ºÏºÏ¼­	337	9.77	0.33	5.1	0.45	3.5	2.0	¼­³²¼­	240	9.0	1020.6	-	154	
2023/03/01 08:45:00	21.0	ºÏºÏ¼­	333	9.72	0.39	5.2	0.53	5.0	2.1	³²¼­	226	9.3	1020.6	-	41	
2023/03/01 08:50:00	21.7	ºÏºÏ¼­	341	9.69	0.31	4.9	0.46	6.0	2.0	³²³²¼­	201	9.3	1020.6	-	122	
2023/03/01 08:55:00	21.5	ºÏºÏ¼­	340	9.70	0.34	4.9	0.50	5.5	1.1	³²¼­	218	9.4	1020.6	-	343	
2023/03/01 09:00:00	22.8	ºÏºÏ¼­	342	9.75	0.38	5.3	0.46	7.0	1.0	³²³²¼­	210	9.4	1020.7	-	101	
2023/03/01 09:05:00	26.4	ºÏºÏ¼­	339	9.76	0.34	4.5	0.47	4.5	0.1	³²³²¼­	198	9.9	1020.6	-	166	
2023/03/01 09:10:00	27.3	ºÏºÏ¼­	340	9.85	0.41	4.6	0.65	4.0	0.7	³²µ¿	132	10.3	1020.5	-	77	
2023/03/01 09:15:00	28.0	ºÏºÏ¼­	335	9.94	0.34	5.1	0.46	4.5	0.7	µ¿	98	10.3	1020.5	-	62	
2023/03/01 09:20:00	27.9	ºÏºÏ¼­	339	9.96	0.36	5.3	0.46	5.0	1.2	µ¿ºÏµ¿	76	10.2	1020.4	-	227	
2023/03/01 09:25:00	27.4	ºÏºÏ¼­	337	9.96	0.34	5.3	0.51	4.5	1.6	µ¿ºÏµ¿	67	10.0	1020.4	-	62	
2023/03/01 09:30:00	26.9	ºÏºÏ¼­	330	9.95	0.35	4.8	0.59	5.5	2.2	ºÏµ¿	53	9.9	1020.3	-	84	
2023/03/01 09:35:00	25.8	ºÏºÏ¼­	328	9.95	0.37	5.3	0.51	5.5	2.4	ºÏµ¿	50	9.8	1020.2	-	254	
2023/03/01 09:40:00	25.9	ºÏ¼­	326	9.96	0.36	5.0	0.66	5.0	2.7	µ¿ºÏµ¿	61	9.7	1020.0	-	101	
2023/03/01 09:45:00	25.2	ºÏºÏ¼­	329	9.92	0.33	5.3	0.44	6.0	2.8	ºÏµ¿	54	9.7	1020.0	-	332	
2023/03/01 09:50:00	24.1	ºÏºÏ¼­	331	9.93	0.38	5.5	0.55	5.5	3.4	ºÏµ¿	55	9.6	1020.0	-	90	
2023/03/01 09:55:00	23.7	ºÏºÏ¼­	336	9.92	0.32	4.7	0.39	4.5	3.2	µ¿ºÏµ¿	65	9.6	1020.0	-	4	
2023/03/01 10:00:00	22.6	ºÏ¼­	326	9.94	0.37	4.9	0.52	4.5	3.2	µ¿ºÏµ¿	57	9.6	1020.0	-	201	
2023/03/01 10:05:00	19.9	ºÏºÏ¼­	331	9.95	0.37	4.9	0.54	5.0	3.5	ºÏµ¿	52	9.6	1020.0	-	267	
2023/03/01 10:10:00	23.1	ºÏºÏ¼­	331	9.95	0.39	5.4	0.57	5.0	3.5	µ¿ºÏµ¿	58	9.5	1019.9	-	306	
2023/03/01 10:15:00	20.7	ºÏºÏ¼­	328	9.95	0.38	4.7	0.60	5.5	3.8	µ¿ºÏµ¿	58	9.6	1019.8	-	299	
2023/03/01 10:20:00	22.4	ºÏºÏ¼­	335	9.96	0.38	5.3	0.58	4.5	4.2	µ¿ºÏµ¿	77	9.7	1019.7	-	0	
2023/03/01 10:25:00	22.6	ºÏºÏ¼­	337	9.95	0.37	5.0	0.54	5.0	4.2	µ¿ºÏµ¿	77	9.5	1019.6	-	59	
2023/03/01 10:30:00	22.8	ºÏºÏ¼­	346	9.91	0.37	4.6	0.55	4.5	4.2	µ¿ºÏµ¿	73	9.5	1019.5	-	232	
2023/03/01 10:35:00	23.3	ºÏºÏ¼­	336	9.95	0.39	4.8	0.50	6.0	3.5	µ¿ºÏµ¿	69	9.5	1019.5	-	80	
2023/03/01 10:40:00	25.1	ºÏºÏ¼­	339	9.89	0.37	5.2	0.51	5.0	3.0	µ¿ºÏµ¿	74	9.6	1019.4	-	354	
2023/03/01 10:45:00	23.5	ºÏºÏ¼­	339	9.94	0.44	4.4	0.58	4.0	3.3	µ¿ºÏµ¿	64	9.6	1019.4	-	12	
2023/03/01 10:50:00	31.6	ºÏºÏ¼­	333	9.98	0.40	5.0	0.51	4.0	3.3	µ¿	82	9.7	1019.3	-	65	
2023/03/01 10:55:00	35.3	ºÏºÏ¼­	340	10.13	0.41	4.8	0.63	4.0	3.3	µ¿	84	9.8	1019.3	-	95	
2023/03/01 11:00:00	37.2	ºÏºÏ¼­	334	10.29	0.47	4.7	0.67	4.5	3.6	µ¿ºÏµ¿	69	9.6	1019.2	-	15	
2023/03/01 11:05:00	40.2	ºÏºÏ¼­	340	10.49	0.42	5.0	0.56	4.5	4.0	µ¿ºÏµ¿	75	9.6	1019.1	-	103	
2023/03/01 11:10:00	34.3	ºÏºÏ¼­	331	10.53	0.40	4.9	0.58	4.5	4.0	µ¿	81	9.6	1019.1	-	271	
2023/03/01 11:15:00	38.7	ºÏºÏ¼­	330	10.52	0.36	4.8	0.44	5.0	4.5	µ¿	84	9.6	1019.1	-	169	
2023/03/01 11:20:00	38.0	ºÏºÏ¼­	335	10.41	0.37	4.9	0.49	3.5	4.4	µ¿ºÏµ¿	73	9.5	1019.0	-	213	
2023/03/01 11:25:00	36.9	ºÏºÏ¼­	341	10.24	0.44	4.1	0.72	4.5	4.3	µ¿ºÏµ¿	74	9.5	1019.0	-	0	
2023/03/01 11:30:00	38.2	ºÏºÏ¼­	341	10.17	0.41	4.9	0.57	4.5	4.8	µ¿ºÏµ¿	76	9.4	1019.0	-	14	
2023/03/01 11:35:00	39.8	ºÏºÏ¼­	343	10.17	0.44	4.8	0.56	4.5	5.1	µ¿ºÏµ¿	76	9.5	1019.0	-	309	
2023/03/01 11:40:00	41.4	ºÏºÏ¼­	344	10.27	0.40	4.9	0.51	4.0	4.8	µ¿ºÏµ¿	77	9.5	1018.9	-	97	
2023/03/01 11:45:00	42.0	ºÏºÏ¼­	339	10.33	0.46	4.9	0.70	4.0	4.3	µ¿	82	9.5	1018.7	-	255	
2023/03/01 11:50:00	46.4	ºÏºÏ¼­	344	10.42	0.41	4.6	0.52	4.5	4.3	µ¿	83	9.5	1018.7	-	166	
2023/03/01 11:55:00	44.9	ºÏºÏ¼­	343	10.48	0.41	4.5	0.66	4.0	4.6	µ¿	80	9.5	1018.6	-	156	
2023/03/01 12:00:00	46.9	ºÏºÏ¼­	340	10.56	0.44	4.5	0.63	4.5	4.7	µ¿ºÏµ¿	76	9.5	1018.5	-	28	
2023/03/01 12:05:00	41.6	ºÏºÏ¼­	341	10.62	0.38	4.0	0.59	4.0	4.8	µ¿ºÏµ¿	74	9.5	1018.4	-	279	
2023/03/01 12:10:00	42.3	ºÏºÏ¼­	335	10.64	0.43	4.1	0.52	4.5	4.7	µ¿ºÏµ¿	72	9.6	1018.4	-	1	
2023/03/01 12:15:00	45.2	ºÏºÏ¼­	332	10.64	0.41	4.4	0.54	3.5	4.5	µ¿ºÏµ¿	69	9.6	1018.4	-	295	
2023/03/01 12:20:00	48.3	ºÏºÏ¼­	334	10.64	0.41	4.9	0.65	6.5	4.6	µ¿ºÏµ¿	76	9.6	1018.3	-	228	
2023/03/01 12:25:00	43.8	ºÏºÏ¼­	333	10.63	0.38	4.6	0.63	4.0	4.4	µ¿ºÏµ¿	75	9.6	1018.1	-	86	
2023/03/01 12:30:00	40.0	ºÏºÏ¼­	345	10.65	0.39	4.3	0.53	4.5	4.4	µ¿ºÏµ¿	74	9.7	1018.0	-	251	
2023/03/01 12:35:00	44.0	ºÏºÏ¼­	336	10.64	0.42	4.2	0.60	4.5	4.6	µ¿ºÏµ¿	60	9.7	1018.0	-	4	
2023/03/01 12:40:00	39.7	ºÏºÏ¼­	345	10.59	0.37	4.6	0.49	5.0	4.0	µ¿ºÏµ¿	58	9.6	1017.9	-	218	
2023/03/01 12:45:00	39.3	ºÏºÏ¼­	337	10.63	0.39	4.6	0.55	4.5	3.8	µ¿ºÏµ¿	57	9.6	1017.9	-	256	
2023/03/01 12:50:00	42.0	ºÏºÏ¼­	332	10.62	0.37	4.8	0.55	5.5	3.9	µ¿ºÏµ¿	60	9.6	1017.9	-	244	
2023/03/01 12:55:00	37.4	ºÏºÏ¼­	337	10.66	0.37	4.4	0.48	5.0	3.9	µ¿ºÏµ¿	63	9.6	1017.7	-	136	
2023/03/01 13:00:00	37.3	ºÏºÏ¼­	332	10.66	0.38	5.4	0.55	4.0	4.1	ºÏµ¿	53	9.5	1017.6	-	220	
2023/03/01 13:05:00	39.1	ºÏºÏ¼­	337	10.66	0.38	4.6	0.57	5.5	4.2	ºÏµ¿	55	9.5	1017.5	-	158	
2023/03/01 13:10:00	36.1	ºÏºÏ¼­	336	10.68	0.40	4.7	0.64	5.0	4.3	µ¿ºÏµ¿	59	9.6	1017.4	-	344	
2023/03/01 13:15:00	39.5	ºÏºÏ¼­	340	10.65	0.36	4.6	0.46	5.5	4.5	ºÏµ¿	52	9.6	1017.4	-	242	
2023/03/01 13:20:00	37.8	ºÏºÏ¼­	340	10.65	0.35	4.6	0.48	3.5	4.6	ºÏµ¿	41	9.6	1017.3	-	141	
2023/03/01 13:25:00	35.0	ºÏºÏ¼­	335	10.68	0.36	4.6	0.47	5.0	5.3	ºÏµ¿	42	9.4	1017.2	-	103	
2023/03/01 13:30:00	40.5	ºÏºÏ¼­	338	10.68	0.37	4.6	0.51	5.0	5.8	ºÏµ¿	46	9.3	1017.1	-	225	
2023/03/01 13:35:00	40.1	ºÏºÏ¼­	329	10.66	0.37	5.3	0.56	4.0	6.5	ºÏµ¿	45	9.2	1017.1	-	37	
2023/03/01 13:40:00	45.2	ºÏºÏ¼­	331	10.70	0.37	4.6	0.61	5.5	6.1	ºÏµ¿	46	9.1	1017.1	-	78	
2023/03/01 13:45:00	41.6	ºÏºÏ¼­	333	10.68	0.38	4.6	0.59	6.5	6.3	ºÏµ¿	49	9.1	1017.0	-	67	
2023/03/01 13:50:00	43.9	ºÏºÏ¼­	332	10.68	0.40	5.0	0.65	4.0	5.9	ºÏµ¿	53	9.1	1016.9	-	79	
2023/03/01 13:55:00	39.5	ºÏºÏ¼­	339	10.65	0.45	4.1	0.75	5.0	6.0	µ¿ºÏµ¿	58	9.1	1016.8	-	224	
2023/03/01 14:00:00	37.9	ºÏºÏ¼­	337	10.61	0.42	4.6	0.63	5.0	5.5	µ¿ºÏµ¿	60	9.1	1016.8	-	154	
2023/03/01 14:05:00	37.5	ºÏºÏ¼­	336	10.59	0.40	4.0	0.59	4.0	4.8	µ¿ºÏµ¿	59	9.1	1016.7	-	58	
2023/03/01 14:10:00	39.2	ºÏºÏ¼­	337	10.61	0.42	4.1	0.58	5.5	5.3	µ¿ºÏµ¿	68	9.1	1016.6	-	188	
