관측소명:경포대해수욕장
위도:37.808972
경도:128.931889
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2021-09-01 02:30:00	13.6	남	172	22.38	0.48	4.2	0.71	4.5	7.5	북동	56	19.3	1012.7	-	345	
2021-09-01 02:35:00	10.3	남	181	22.42	0.51	3.8	0.72	3.5	7.9	동북동	65	19.4	1012.6	-	328	
2021-09-01 02:40:00	8.7	남남서	193	22.41	0.49	3.7	0.72	5.0	7.4	동북동	77	19.3	1012.8	-	82	
2021-09-01 02:45:00	13.1	남	189	22.48	0.55	3.4	0.70	3.5	7.3	동	86	19.2	1012.9	-	84	
2021-09-01 02:50:00	8.6	남남서	212	22.43	0.47	4.0	0.65	4.5	7.7	동	93	19.2	1012.8	-	349	
2021-09-01 02:55:00	5.1	남서	219	22.46	0.55	4.0	0.74	4.0	8.7	동	89	19.3	1012.8	-	128	
2021-09-01 03:00:00	5.4	남남서	199	22.53	0.58	4.1	0.88	3.5	8.8	동	86	18.9	1012.9	-	78	
2021-09-01 03:05:00	10.5	남서	225	22.54	0.64	3.5	0.98	3.5	8.4	동	87	18.9	1012.9	-	96	
2021-09-01 03:10:00	6.8	남서	217	22.56	0.70	4.2	1.08	5.5	7.7	동	92	18.9	1013.0	-	38	
2021-09-01 03:15:00	8.3	남서	219	22.58	0.73	4.4	0.98	5.0	6.7	동	89	19.2	1013.1	-	77	
2021-09-01 03:20:00	10.2	서남서	237	22.57	0.68	3.8	0.91	4.0	7.5	동	88	18.9	1013.1	-	64	
2021-09-01 03:25:00	8.1	남서	226	22.56	0.66	4.3	0.93	5.0	6.8	동	87	19.0	1013.0	-	28	
2021-09-01 03:30:00	8.7	남남서	213	22.58	0.61	4.1	0.89	3.0	7.0	동	86	19.0	1013.0	-	110	
2021-09-01 03:35:00	8.4	남서	227	22.56	0.71	4.1	0.97	6.0	6.9	동	89	19.0	1012.9	-	18	
2021-09-01 03:40:00	9.5	남서	228	22.58	0.76	4.2	1.06	3.5	6.7	동	97	19.0	1012.9	-	110	
2021-09-01 03:45:00	7.0	서남서	243	22.61	0.80	4.0	1.18	3.5	6.9	동	86	19.0	1013.0	-	192	
2021-09-01 03:50:00	3.9	서남서	247	22.63	0.68	3.7	1.01	3.5	6.3	동	80	19.0	1013.0	-	308	
2021-09-01 03:55:00	3.3	남서	217	22.64	0.77	4.0	1.09	4.0	6.1	동	79	19.2	1013.0	-	107	
2021-09-01 04:00:00	9.5	서남서	254	22.51	0.74	4.3	1.12	3.5	7.0	동	83	19.1	1012.9	-	38	
2021-09-01 04:05:00	7.3	서	260	22.50	0.71	4.1	1.12	3.5	6.7	동북동	75	19.0	1012.9	-	32	
2021-09-01 04:10:00	11.5	서남서	256	22.51	0.82	4.5	1.17	5.0	6.2	동북동	77	19.2	1012.7	-	33	
2021-09-01 04:15:00	7.3	서	275	22.51	0.73	4.4	1.13	4.0	6.4	동북동	69	19.2	1012.7	-	32	
2021-09-01 04:20:00	11.1	서남서	246	22.53	0.81	4.5	1.05	3.5	6.5	동북동	70	19.2	1012.8	-	23	
2021-09-01 04:25:00	11.8	서	262	22.53	0.68	4.3	0.85	3.5	6.1	동북동	68	19.2	1012.8	-	186	
2021-09-01 04:30:00	9.5	서	272	22.52	0.79	4.3	1.07	4.5	6.1	동북동	69	19.4	1012.7	-	212	
2021-09-01 04:35:00	6.1	서	264	22.58	0.88	4.5	1.41	4.5	6.5	동북동	65	19.4	1012.7	-	22	
2021-09-01 04:40:00	8.6	서	266	22.56	0.86	4.5	1.15	4.5	6.5	동북동	77	19.5	1012.7	-	245	
2021-09-01 04:45:00	13.2	서	274	22.60	0.82	4.3	1.16	5.0	7.7	동	82	19.4	1012.5	-	258	
2021-09-01 04:50:00	12.5	서	278	22.63	0.75	4.5	0.98	5.5	6.7	동	79	19.4	1012.5	-	263	
2021-09-01 04:55:00	15.5	서	280	22.68	0.88	4.6	1.17	5.0	6.3	동	79	19.6	1012.6	-	220	
2021-09-01 05:00:00	15.9	서	279	22.69	0.79	4.3	1.00	5.0	6.4	동	88	19.4	1012.6	-	78	
2021-09-01 05:05:00	15.7	서	276	22.69	0.89	4.8	1.36	4.5	6.6	동	91	19.4	1012.6	-	12	
2021-09-01 05:10:00	14.1	서	280	22.70	0.89	4.3	1.33	4.5	7.3	동	94	19.3	1012.5	-	66	
2021-09-01 05:15:00	15.3	서북서	281	22.69	0.85	4.4	1.35	4.0	7.0	동	101	19.2	1012.4	-	329	
2021-09-01 05:20:00	13.2	서북서	286	22.71	0.87	4.4	1.38	4.5	6.9	동	101	19.4	1012.4	-	306	
2021-09-01 05:25:00	13.5	서	281	22.72	0.87	4.4	1.23	3.5	6.5	동	92	19.5	1012.3	-	264	
2021-09-01 05:30:00	10.6	북서	307	22.72	0.96	4.6	1.41	5.0	6.8	동	95	19.6	1012.3	-	27	
2021-09-01 05:35:00	18.8	서북서	287	22.73	1.07	4.9	1.31	5.5	7.0	동	94	19.6	1012.3	-	29	
2021-09-01 05:40:00	11.7	서북서	291	22.73	0.91	4.8	1.23	4.5	6.7	동	101	19.6	1012.3	-	265	
2021-09-01 05:45:00	13.0	서북서	281	22.74	0.94	5.0	1.54	4.5	6.2	동남동	103	19.6	1012.4	-	311	
2021-09-01 05:50:00	7.7	서북서	301	22.75	0.95	4.4	1.29	4.0	6.6	동	91	19.7	1012.4	-	335	
2021-09-01 05:55:00	9.7	서북서	282	22.76	1.00	4.9	1.29	4.5	6.6	동	93	19.8	1012.4	-	36	
2021-09-01 06:00:00	12.7	서북서	292	22.76	1.07	4.9	1.32	4.5	7.0	동	99	19.9	1012.3	-	20	
2021-09-01 06:05:00	9.5	북서	305	22.76	1.04	4.5	1.47	4.5	6.3	동남동	106	19.8	1012.4	-	61	
2021-09-01 06:10:00	10.3	서북서	297	22.76	0.89	4.7	1.11	4.5	5.5	동남동	116	19.8	1012.4	-	292	
2021-09-01 06:15:00	5.4	서북서	286	22.75	0.97	4.4	1.36	4.5	5.5	동남동	121	19.8	1012.4	-	191	
2021-09-01 06:20:00	8.9	북서	321	22.76	1.01	4.8	1.48	4.5	4.9	남동	124	19.8	1012.5	-	315	
2021-09-01 06:25:00	7.4	서북서	289	22.78	1.03	4.7	1.67	5.0	4.7	남동	135	19.8	1012.4	-	120	
2021-09-01 06:30:00	9.0	북북서	334	22.77	0.92	4.4	1.11	5.0	5.3	남동	131	20.0	1012.3	-	260	
2021-09-01 06:35:00	7.8	북북서	337	22.78	0.99	4.7	1.29	4.5	5.2	남동	125	20.0	1012.3	-	162	
2021-09-01 06:40:00	11.6	북북서	334	22.78	0.90	4.7	1.16	4.5	5.7	동남동	108	19.9	1012.2	-	29	
2021-09-01 06:45:00	11.1	북북서	337	22.78	1.04	4.6	1.56	4.5	5.7	동남동	108	20.0	1012.2	-	17	
2021-09-01 06:50:00	9.7	북북서	334	22.78	1.00	4.8	1.49	5.0	5.4	동남동	114	20.1	1012.1	-	106	
2021-09-01 06:55:00	11.0	북북서	348	22.79	1.05	5.0	1.45	5.0	5.0	동남동	109	20.0	1012.2	-	113	
2021-09-01 07:00:00	8.8	북	350	22.79	1.10	5.0	1.39	5.0	4.8	동남동	112	20.0	1012.2	-	24	
2021-09-01 07:05:00	7.2	북북서	336	22.79	1.12	4.9	1.59	4.0	4.8	동남동	119	19.9	1012.2	-	40	
2021-09-01 07:10:00	10.2	북북서	346	22.79	0.99	5.1	1.37	3.5	5.3	동남동	121	20.0	1012.2	-	110	
2021-09-01 07:15:00	11.2	북북서	336	22.79	0.97	4.7	1.28	6.5	4.7	동남동	122	19.9	1012.3	-	334	
2021-09-01 07:20:00	11.3	북	350	22.79	1.00	4.7	1.31	4.5	4.1	남동	126	20.0	1012.2	-	43	
2021-09-01 07:25:00	10.0	북북서	340	22.80	1.11	4.9	1.76	5.0	4.4	동남동	120	19.7	1012.3	-	204	
2021-09-01 07:30:00	10.6	북	10	22.81	1.02	4.9	1.79	4.5	3.3	남동	127	19.7	1012.3	-	65	
2021-09-01 07:35:00	12.0	북북서	334	22.81	1.00	5.1	1.43	6.0	3.8	남	171	19.9	1012.3	-	32	
2021-09-01 07:40:00	15.3	북북서	335	22.82	1.01	4.7	1.39	3.5	2.3	남남서	210	19.7	1012.3	-	57	
2021-09-01 07:45:00	11.2	북북서	331	22.83	0.81	4.8	1.11	4.5	1.7	남남동	166	19.7	1012.3	-	332	
2021-09-01 07:50:00	18.4	북북서	345	22.69	1.15	5.2	1.63	5.5	3.2	남동	134	19.8	1012.2	-	30	
2021-09-01 07:55:00	15.5	북북서	348	22.70	0.96	4.8	1.41	5.0	3.4	동남동	104	19.8	1012.2	-	53	
2021-09-01 08:00:00	14.8	북	354	22.64	1.09	5.2	1.51	5.0	2.3	동남동	111	19.9	1012.3	-	56	
2021-09-01 08:05:00	14.7	북	2	22.66	1.01	4.8	1.38	4.0	2.8	남동	128	19.8	1012.2	-	19	
2021-09-01 08:10:00	15.5	북북동	13	22.72	0.98	5.1	1.32	4.5	3.8	동남동	117	19.7	1012.2	-	54	
2021-09-01 08:15:00	14.5	북	358	22.70	1.09	5.6	1.57	5.5	3.3	동남동	103	19.7	1012.2	-	34	
2021-09-01 08:20:00	14.6	북	10	22.70	1.07	5.4	1.72	5.0	3.6	동남동	111	19.9	1012.2	-	60	
2021-09-01 08:25:00	14.7	북	9	22.67	0.97	5.4	1.46	5.5	2.6	동남동	104	19.8	1012.3	-	34	
2021-09-01 08:30:00	17.9	북	11	22.63	1.11	4.8	1.36	5.0	2.4	동	83	19.8	1012.4	-	120	
2021-09-01 08:35:00	13.7	북북동	24	22.57	1.11	5.4	1.70	6.0	2.0	동북동	77	19.7	1012.4	-	41	
2021-09-01 08:40:00	18.4	북동	37	22.58	1.16	5.2	1.68	5.0	1.9	동북동	72	19.5	1012.5	-	18	
2021-09-01 08:45:00	18.1	북북동	17	22.46	1.09	5.0	1.56	5.0	0.0	동북동	60	19.5	1012.8	-	48	
2021-09-01 08:50:00	14.1	북북동	24	22.40	1.09	5.5	1.57	5.5	0.7	동북동	71	19.5	1012.4	-	13	
2021-09-01 08:55:00	13.1	북북동	16	22.45	0.97	5.4	1.23	5.0	1.5	북북동	24	19.4	1012.3	-	79	
2021-09-01 09:00:00	12.1	북북동	25	22.49	1.18	5.3	1.90	5.5	1.3	북북서	328	19.5	1012.3	-	37	
2021-09-01 09:05:00	16.8	북북동	21	22.43	1.23	5.1	1.65	5.0	0.9	북북동	32	19.5	1012.3	-	103	
2021-09-01 09:10:00	14.3	북동	43	22.41	1.02	5.1	1.39	6.0	2.6	서북서	301	19.4	1012.4	-	176	
2021-09-01 09:15:00	10.3	북동	37	22.41	1.06	5.1	1.45	5.0	1.3	북북동	19	19.3	1012.4	-	60	
2021-09-01 09:20:00	12.0	북	7	22.41	1.29	5.1	1.75	4.5	1.6	북동	46	19.3	1012.4	-	3	
2021-09-01 09:25:00	14.1	북북동	32	22.47	1.10	5.2	1.62	5.5	1.2	서남서	252	19.3	1012.5	-	108	
2021-09-01 09:30:00	8.8	북북동	30	22.52	1.27	5.1	1.56	5.0	0.9	서북서	300	19.2	1012.4	-	76	
2021-09-01 09:35:00	9.4	북동	37	22.54	1.40	5.1	1.98	4.5	1.5	북서	305	19.3	1012.4	-	79	
2021-09-01 09:40:00	7.2	북북동	14	22.50	1.17	5.3	1.57	6.0	1.3	남	184	19.4	1012.4	-	117	
2021-09-01 09:45:00	11.0	북동	40	22.50	1.13	5.1	1.69	4.5	3.2	남동	134	19.5	1012.4	-	106	
2021-09-01 09:50:00	10.5	북북동	27	22.49	1.39	5.2	1.72	5.5	3.6	동남동	119	19.8	1012.4	-	97	
2021-09-01 09:55:00	10.1	북북동	19	22.49	1.28	5.3	2.18	6.0	4.0	동남동	120	20.0	1012.3	-	88	
2021-09-01 10:00:00	8.2	북북동	22	22.44	1.26	5.4	1.74	5.5	3.7	동남동	104	20.1	1012.3	-	69	
2021-09-01 10:05:00	7.1	북	10	22.49	1.13	5.4	1.83	5.5	3.3	동남동	113	20.2	1012.3	-	37	
2021-09-01 10:10:00	5.9	북동	46	22.50	1.17	5.7	1.65	5.0	3.5	동남동	112	20.3	1012.3	-	51	
2021-09-01 10:15:00	10.1	북	7	22.52	1.20	5.0	1.61	5.5	3.1	남동	124	20.4	1012.3	-	40	
2021-09-01 10:20:00	7.4	북	4	22.51	1.17	5.2	1.89	5.0	2.7	동남동	115	20.4	1012.3	-	101	
2021-09-01 10:25:00	12.0	북	7	22.49	1.23	5.5	1.81	6.0	1.7	남동	126	20.4	1012.4	-	84	
2021-09-01 10:30:00	7.6	북	11	22.50	1.06	5.2	1.33	5.5	1.4	남동	131	20.4	1012.5	-	84	
2021-09-01 10:35:00	8.0	북북동	24	22.48	1.15	5.3	1.73	6.0	1.0	남남동	164	20.5	1012.4	-	74	
2021-09-01 10:40:00	9.2	북	9	22.47	1.19	5.7	2.33	5.5	0.2	남남동	158	20.4	1012.4	-	67	
2021-09-01 10:45:00	9.9	북북서	335	22.49	1.16	5.4	1.65	5.5	1.8	북동	50	20.3	1012.4	-	72	
2021-09-01 10:50:00	3.4	북서	317	22.51	1.23	5.5	1.75	5.5	2.5	북동	52	20.2	1012.3	-	39	
2021-09-01 10:55:00	6.1	북	360	22.49	1.23	5.6	1.73	5.5	2.4	북동	51	20.2	1012.3	-	78	
2021-09-01 11:00:00	6.6	북	358	22.49	1.28	5.7	1.76	5.5	2.3	북북동	24	20.1	1012.3	-	22	
2021-09-01 11:05:00	7.8	북북서	348	22.54	1.10	5.4	1.49	6.0	1.6	북북동	13	20.1	1012.2	-	53	
2021-09-01 11:10:00	9.1	북북동	15	22.54	1.34	5.7	1.74	6.0	1.7	북북서	344	20.1	1012.3	-	75	
2021-09-01 11:15:00	10.7	북북동	17	22.52	1.20	5.5	1.79	5.5	1.7	북	350	20.0	1012.3	-	109	
2021-09-01 11:20:00	7.1	북	10	22.51	1.40	5.6	1.63	5.5	1.5	북북서	339	20.1	1012.2	-	113	
2021-09-01 11:25:00	4.7	북	350	22.52	1.17	5.4	1.67	5.5	2.2	북북서	343	20.0	1012.2	-	102	
2021-09-01 11:30:00	7.3	북	9	22.54	1.13	5.5	1.51	6.5	2.7	북	7	20.0	1012.1	-	107	
2021-09-01 11:35:00	10.6	북북동	24	22.53	1.14	5.3	1.42	6.0	2.3	북	354	19.9	1012.1	-	74	
2021-09-01 11:40:00	6.0	북북동	15	22.52	1.22	5.4	1.63	5.5	2.5	북	355	19.9	1012.1	-	70	
2021-09-01 11:45:00	5.0	북북동	12	22.56	1.35	5.6	1.89	6.0	2.4	북	353	20.0	1012.0	-	39	
2021-09-01 11:50:00	7.2	북	9	22.59	1.17	5.4	1.53	5.5	2.0	북	354	19.9	1011.9	-	90	
2021-09-01 11:55:00	6.5	북	1	22.54	1.35	5.7	1.78	5.0	2.1	북	359	19.8	1011.9	-	101	
2021-09-01 12:00:00	4.6	북	6	22.55	1.16	5.4	1.61	5.0	1.1	북	356	19.8	1011.9	-	90	
2021-09-01 12:05:00	5.9	북서	320	22.56	1.11	5.7	1.74	5.5	0.2	서	275	19.8	1011.9	-	91	
2021-09-01 12:10:00	6.6	북북서	346	22.59	1.24	5.7	1.55	5.5	0.4	북서	322	20.0	1011.8	-	62	
2021-09-01 12:15:00	6.4	북북서	347	22.64	1.16	5.5	1.41	5.0	1.0	북북동	28	20.2	1011.7	-	104	
2021-09-01 12:20:00	2.9	북	9	22.64	1.15	5.5	1.66	4.5	0.6	동북동	72	20.2	1011.7	-	84	
2021-09-01 12:25:00	5.4	북	360	22.61	0.97	5.7	1.33	5.5	0.5	서	261	20.2	1011.8	-	105	
2021-09-01 12:30:00	6.5	북북서	329	22.59	1.22	5.7	1.71	6.0	0.1	북북서	330	20.3	1011.8	-	54	
2021-09-01 12:35:00	6.7	북서	325	22.56	1.09	5.8	1.44	5.5	0.1	북동	54	20.3	1011.8	-	75	
2021-09-01 12:40:00	3.9	북	357	22.57	1.14	5.5	1.64	6.0	0.5	동북동	66	20.3	1011.8	-	50	
2021-09-01 12:45:00	3.1	북서	322	22.45	1.14	5.6	1.50	6.0	0.0	서	266	20.2	1011.8	-	92	
2021-09-01 12:50:00	4.1	북	7	22.56	1.24	5.5	1.66	5.5	0.4	동남동	104	20.2	1011.8	-	57	
2021-09-01 12:55:00	7.6	북	349	22.62	1.17	5.7	1.75	6.0	1.3	동	95	20.2	1011.9	-	68	
2021-09-01 13:00:00	10.2	북북서	348	22.65	1.10	5.4	1.65	5.5	4.0	동	82	20.2	1011.8	-	118	
2021-09-01 13:05:00	5.3	서북서	293	22.66	1.33	5.7	1.69	6.0	4.0	동남동	117	20.1	1011.8	-	86	
2021-09-01 13:10:00	6.6	북북서	333	22.57	1.36	5.8	2.07	5.5	3.5	동	99	20.0	1011.8	-	67	
2021-09-01 13:15:00	6.0	북	358	22.72	1.17	5.6	1.75	5.5	3.3	동	84	20.2	1011.7	-	114	
2021-09-01 13:20:00	3.8	북	9	22.72	1.29	5.9	1.61	5.5	2.7	동북동	61	20.3	1011.6	-	51	
2021-09-01 13:25:00	7.9	북	360	22.78	1.29	6.0	1.54	5.5	2.2	동북동	62	20.4	1011.7	-	75	
2021-09-01 13:30:00	3.5	북북동	15	22.78	1.20	5.5	1.46	5.0	2.6	북동	43	20.5	1011.7	-	74	
2021-09-01 13:35:00	1.1	서북서	301	22.51	1.44	5.7	2.44	5.5	2.7	북동	50	20.4	1011.7	-	58	
2021-09-01 13:40:00	9.3	북북동	17	22.65	1.53	5.9	2.04	6.0	2.8	북북동	33	20.4	1011.6	-	61	
2021-09-01 13:45:00	4.4	북서	324	22.71	1.16	5.7	1.84	5.5	2.9	북북동	22	20.2	1011.7	-	101	
2021-09-01 13:50:00	7.6	북북서	335	22.59	1.37	5.8	1.84	6.0	2.1	북북동	20	20.3	1011.7	-	74	
2021-09-01 13:55:00	9.0	북서	320	22.69	1.20	5.6	1.77	6.0	1.6	북북동	19	20.3	1011.7	-	44	
2021-09-01 14:00:00	6.1	서북서	302	22.76	1.21	5.8	1.60	6.0	2.2	북동	41	20.3	1011.7	-	12	
2021-09-01 14:05:00	5.5	북북서	335	22.79	1.38	5.5	1.81	5.5	3.5	동북동	66	20.3	1011.7	-	66	
2021-09-01 14:10:00	7.0	북북서	342	22.77	1.43	5.8	2.09	5.5	5.8	동북동	62	20.4	1011.7	-	87	
2021-09-01 14:15:00	7.1	북서	319	22.80	1.55	5.8	2.09	6.0	7.0	동북동	58	20.2	1011.6	-	108	
2021-09-01 14:20:00	5.4	북서	325	22.78	0.96	5.6	1.16	5.5	7.9	북동	56	20.1	1011.6	-	49	
2021-09-01 14:25:00	5.8	서북서	303	22.79	1.58	5.8	2.15	6.0	8.2	북동	56	20.1	1011.5	-	65	
2021-09-01 14:30:00	7.8	북서	313	22.79	1.20	5.6	1.71	5.5	7.4	동북동	60	20.2	1011.4	-	88	
2021-09-01 14:35:00	6.1	서북서	304	22.77	1.24	5.9	1.67	6.0	7.0	동북동	59	20.3	1011.4	-	51	
2021-09-01 14:40:00	4.9	서남서	255	22.59	1.43	5.6	2.12	6.0	7.2	동북동	58	20.3	1011.4	-	44	
2021-09-01 14:45:00	0.8	서남서	243	22.65	1.40	5.8	1.91	5.5	7.4	동북동	62	20.4	1011.5	-	37	
2021-09-01 14:50:00	2.6	서북서	303	22.64	1.57	5.9	2.15	5.5	7.4	동북동	77	20.3	1011.4	-	53	
2021-09-01 14:55:00	6.1	서북서	287	22.51	1.37	5.4	1.66	5.0	7.8	동북동	75	20.5	1011.3	-	54	
2021-09-01 15:00:00	2.5	서남서	241	22.51	1.43	5.9	2.15	6.0	8.0	동북동	76	20.5	1011.3	-	75	
2021-09-01 15:05:00	1.3	남	170	22.60	1.15	5.9	1.71	5.5	7.5	동북동	74	20.5	1011.3	-	36	
2021-09-01 15:10:00	4.3	서북서	301	22.63	1.35	5.9	1.69	6.0	7.9	동	80	20.5	1011.3	-	38	
2021-09-01 15:15:00	5.2	서북서	288	22.67	1.16	5.6	1.49	6.0	7.6	동북동	71	20.6	1011.3	-	61	
2021-09-01 15:20:00	6.2	서	269	22.64	1.48	5.7	2.02	5.0	7.2	동북동	69	20.6	1011.4	-	65	
2021-09-01 15:25:00	5.8	북서	311	22.71	1.36	5.7	1.89	6.0	6.3	동북동	71	20.7	1011.5	-	53	
2021-09-01 15:30:00	16.2	서북서	284	22.70	1.46	6.0	1.92	6.0	6.4	동북동	74	20.9	1011.6	-	73	
2021-09-01 15:35:00	7.6	서	270	22.68	1.59	5.8	2.42	5.5	6.4	동북동	73	21.0	1011.5	-	55	
2021-09-01 15:40:00	12.4	서	265	22.72	1.32	5.8	1.96	5.5	5.6	동북동	75	21.2	1011.5	-	57	
2021-09-01 15:45:00	13.3	북서	309	22.78	1.40	5.7	1.97	5.5	5.4	동북동	78	21.3	1011.5	-	84	
2021-09-01 15:50:00	15.3	서북서	297	22.79	1.65	5.9	2.29	5.5	5.7	동북동	70	21.3	1011.6	-	50	
2021-09-01 15:55:00	24.3	서북서	289	22.74	1.21	6.2	1.51	5.5	5.6	동북동	71	21.4	1011.6	-	105	
2021-09-01 16:00:00	19.8	서	274	22.75	1.33	5.9	2.20	6.5	5.3	동북동	65	21.5	1011.6	-	66	
2021-09-01 16:05:00	22.6	서북서	286	22.76	1.37	5.7	1.81	5.0	5.4	동북동	75	21.5	1011.6	-	82	
2021-09-01 16:10:00	17.2	서북서	296	22.78	1.70	6.0	2.54	5.5	5.6	동북동	75	21.6	1011.5	-	49	
2021-09-01 16:15:00	-	-	-	-	0.00	0.0	0.00	0.0	5.3	동북동	72	21.8	1011.5	-	0	
2021-09-01 16:20:00	19.7	서북서	282	22.82	1.68	6.0	2.21	6.0	6.3	동북동	65	21.7	1011.5	-	68	
2021-09-01 16:25:00	17.1	서북서	291	22.83	1.52	5.7	1.88	6.5	6.4	동북동	58	21.7	1011.6	-	31	
2021-09-01 16:30:00	20.2	서북서	299	22.84	1.46	6.3	1.75	6.0	6.6	북동	56	21.7	1011.6	-	112	
2021-09-01 16:35:00	17.3	북서	305	22.87	1.33	6.4	1.95	5.5	6.1	북동	55	21.7	1011.7	-	99	
2021-09-01 16:40:00	14.3	북서	315	22.87	1.65	6.1	2.07	5.5	5.4	북동	56	21.7	1011.8	-	87	
2021-09-01 16:45:00	18.4	서북서	296	22.90	1.32	6.1	1.86	6.0	5.4	동북동	59	21.7	1011.8	-	69	
2021-09-01 16:50:00	12.8	북서	306	22.92	1.56	6.3	2.18	7.0	4.8	북동	53	21.7	1011.9	-	83	
2021-09-01 16:55:00	13.0	북서	316	22.93	1.39	6.2	2.24	6.0	4.5	북동	56	21.7	1011.9	-	58	
2021-09-01 17:00:00	17.9	서북서	290	22.92	1.26	5.8	1.50	5.5	4.7	동북동	57	21.6	1011.9	-	90	
2021-09-01 17:05:00	11.9	서북서	289	22.93	1.69	6.0	2.45	6.0	4.3	동북동	64	21.7	1011.9	-	47	
2021-09-01 17:10:00	18.6	서북서	293	22.93	1.43	6.0	2.01	6.0	6.0	동	81	21.4	1011.8	-	93	
2021-09-01 17:15:00	18.8	서북서	295	22.95	1.36	6.2	2.02	5.5	5.6	동북동	72	21.2	1011.9	-	66	
