包螟家疙:版器措秦荐垮厘
困档:37.808972
版档:128.931889
包螟矫埃	蜡加(cm/s)	蜡氢(16points)	蜡氢(deg)	荐柯(∩)	蜡狼颇绊(m)	蜡狼颇林扁(sec)	弥措颇绊(m)	弥措颇林扁(sec)	浅加(m/s)	浅氢(16points)	浅氢(deg)	扁柯(∩)	扁拘(hPa)	矫沥(m)	颇氢(deg)	
2023/02/01 03:00:00	12.1	合合辑	340	10.28	0.27	4.9	0.38	6.5	3.8	辑合辑	303	8.8	1012.4	-	75	
2023/02/01 03:05:00	12.6	合合辑	347	10.29	0.27	5.1	0.38	7.5	2.8	辑合辑	286	8.6	1012.4	-	81	
2023/02/01 03:10:00	12.6	合合辑	335	10.27	0.31	4.9	0.44	7.5	2.0	辑合辑	302	8.6	1012.4	-	83	
2023/02/01 03:15:00	13.9	合合辑	335	10.29	0.29	4.6	0.46	7.5	2.9	辑合辑	290	8.5	1012.4	-	86	
2023/02/01 03:20:00	13.0	合合辑	335	10.30	0.29	4.5	0.40	3.5	3.0	辑合辑	293	8.4	1012.4	-	343	
2023/02/01 03:25:00	15.8	合合辑	340	10.33	0.31	4.5	0.44	5.5	3.2	辑合辑	283	8.3	1012.4	-	216	
2023/02/01 03:30:00	14.9	合合辑	329	10.35	0.31	4.4	0.41	5.0	3.5	辑	264	8.4	1012.4	-	332	
2023/02/01 03:35:00	14.3	合合辑	336	10.38	0.32	4.6	0.41	2.5	3.4	辑	265	8.4	1012.5	-	113	
2023/02/01 03:40:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2023/02/01 03:45:00	16.5	合合辑	334	10.38	0.32	4.2	0.43	3.0	3.6	辑	269	8.1	1012.7	-	183	
2023/02/01 03:50:00	17.2	合辑	321	10.44	0.36	4.6	0.55	7.0	4.6	辑合辑	285	8.1	1012.7	-	92	
2023/02/01 03:55:00	13.7	合合辑	328	10.40	0.35	4.3	0.50	6.0	4.8	辑	273	7.9	1012.8	-	334	
2023/02/01 04:00:00	13.6	合合辑	327	10.40	0.35	4.4	0.48	3.5	3.9	辑	271	7.8	1012.8	-	323	
2023/02/01 04:05:00	12.7	合合辑	334	10.38	0.40	4.2	0.52	3.0	5.2	辑合辑	300	8.0	1012.8	-	330	
2023/02/01 04:10:00	15.3	合合辑	334	10.34	0.42	3.6	0.85	4.0	8.3	合辑	314	8.4	1012.8	-	336	
2023/02/01 04:15:00	15.9	合合辑	347	10.38	0.42	3.4	0.60	3.5	8.3	合辑	307	8.5	1012.8	-	326	
2023/02/01 04:20:00	6.7	合合辑	329	10.38	0.50	4.0	0.72	3.5	8.9	合辑	319	8.4	1012.8	-	328	
2023/02/01 04:25:00	10.2	合合辑	326	10.35	0.51	3.3	0.80	3.0	8.9	合辑	318	8.4	1012.8	-	50	
2023/02/01 04:30:00	6.4	合辑	316	10.37	0.57	3.6	0.79	3.5	8.3	合辑	315	8.3	1012.8	-	90	
2023/02/01 04:35:00	11.7	合辑	313	10.40	0.57	3.5	0.74	3.5	8.1	合辑	307	8.3	1012.8	-	234	
2023/02/01 04:40:00	8.3	合	355	10.36	0.59	3.8	0.83	3.5	7.3	合辑	307	8.3	1012.9	-	321	
2023/02/01 04:45:00	13.4	合	351	10.38	0.60	3.9	0.74	3.5	7.6	合辑	312	8.2	1012.8	-	163	
2023/02/01 04:50:00	10.0	合合辑	340	10.39	0.57	3.6	0.75	3.5	7.0	合辑	307	8.2	1012.9	-	314	
2023/02/01 04:55:00	9.0	合辑	326	10.40	0.60	3.7	0.85	3.0	7.2	合辑	314	8.2	1012.9	-	337	
2023/02/01 05:00:00	6.8	合辑	324	10.39	0.64	4.0	0.87	4.0	7.4	合辑	317	8.2	1012.9	-	316	
2023/02/01 05:05:00	9.4	合合辑	343	10.42	0.62	3.9	1.04	4.5	7.9	合辑	317	8.1	1013.0	-	153	
2023/02/01 05:10:00	6.7	合	353	10.38	0.64	4.3	0.82	3.5	8.3	合辑	322	8.1	1013.0	-	3	
2023/02/01 05:15:00	7.8	合合辑	343	10.43	0.61	4.1	0.84	3.5	8.1	合辑	312	8.1	1013.1	-	86	
2023/02/01 05:20:00	9.3	合	357	10.42	0.55	4.4	0.81	4.5	7.5	合辑	312	8.0	1013.2	-	313	
2023/02/01 05:25:00	8.6	合合辑	338	10.44	0.57	4.3	0.73	3.0	8.6	合辑	313	8.0	1013.2	-	349	
2023/02/01 05:30:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2023/02/01 05:35:00	11.0	合合辑	347	10.44	0.58	4.3	0.77	3.5	8.1	合辑	305	7.9	1013.2	-	348	
2023/02/01 05:40:00	7.2	合合辑	334	10.44	0.58	4.2	0.79	3.5	7.8	辑合辑	300	7.8	1013.2	-	167	
2023/02/01 05:45:00	9.0	合合辑	346	10.44	0.49	4.1	0.71	5.0	7.9	辑合辑	298	7.7	1013.2	-	286	
2023/02/01 05:50:00	8.3	合合辑	348	10.44	0.55	4.0	0.86	4.5	7.8	辑合辑	297	7.7	1013.2	-	326	
2023/02/01 05:55:00	10.9	合	358	10.46	0.56	4.1	0.75	5.0	6.3	辑合辑	284	7.7	1013.3	-	336	
2023/02/01 06:00:00	9.0	合	350	10.47	0.54	3.9	0.80	3.0	4.9	巢辑	236	6.9	1013.3	-	4	
2023/02/01 06:05:00	11.9	合合辑	345	10.47	0.45	4.1	0.58	4.5	5.5	辑巢辑	243	6.7	1013.4	-	150	
2023/02/01 06:10:00	9.9	合合辑	348	10.48	0.52	4.6	0.74	4.0	4.8	辑巢辑	245	6.6	1013.5	-	9	
2023/02/01 06:15:00	8.6	合合辑	343	10.52	0.52	4.2	0.68	4.0	4.3	辑巢辑	247	6.1	1013.6	-	332	
2023/02/01 06:20:00	10.2	合	350	10.54	0.52	4.1	0.71	4.0	4.0	辑巢辑	254	6.2	1013.6	-	220	
2023/02/01 06:25:00	9.9	合合辑	345	10.57	0.46	4.3	0.73	4.0	3.8	辑巢辑	252	6.2	1013.7	-	126	
2023/02/01 06:30:00	9.9	合合辑	348	10.55	0.47	4.2	0.75	4.0	3.8	辑巢辑	243	6.1	1013.8	-	338	
2023/02/01 06:35:00	6.6	合合辑	333	10.57	0.49	4.3	0.77	4.0	4.0	辑巢辑	237	6.0	1013.8	-	82	
2023/02/01 06:40:00	10.1	合合辑	344	10.56	0.52	4.1	0.67	4.5	4.1	辑巢辑	240	6.0	1013.9	-	219	
2023/02/01 06:45:00	8.9	合	357	10.58	0.39	4.1	0.53	3.5	4.0	辑巢辑	247	6.2	1013.9	-	152	
2023/02/01 06:50:00	8.6	合合辑	349	10.56	0.46	4.2	0.82	4.5	3.9	辑巢辑	239	6.1	1013.9	-	220	
2023/02/01 06:55:00	10.7	合	350	10.57	0.61	4.3	0.92	4.0	3.7	辑巢辑	238	6.0	1013.9	-	245	
2023/02/01 07:00:00	11.2	合合辑	343	10.59	0.53	4.3	0.85	4.0	3.7	辑巢辑	255	6.2	1013.9	-	161	
2023/02/01 07:05:00	10.8	合	353	10.57	0.54	4.2	0.68	4.5	3.5	辑	266	6.2	1013.9	-	155	
2023/02/01 07:10:00	8.6	合合辑	347	10.57	0.54	4.4	0.63	4.5	3.3	辑巢辑	258	6.1	1013.9	-	352	
2023/02/01 07:15:00	8.0	合合辑	339	10.58	0.57	4.4	0.77	4.0	3.6	辑巢辑	253	6.0	1014.0	-	207	
2023/02/01 07:20:00	5.8	合	359	10.60	0.59	4.4	0.95	4.0	4.1	巢辑	236	6.0	1014.0	-	330	
2023/02/01 07:25:00	6.6	合合辑	336	10.57	0.59	4.6	0.93	4.0	3.7	巢辑	228	6.1	1014.0	-	224	
2023/02/01 07:30:00	9.0	合合辑	331	10.57	0.53	4.5	0.86	4.5	4.3	辑巢辑	241	6.2	1014.0	-	195	
2023/02/01 07:35:00	10.3	合合辑	340	10.56	0.68	4.4	0.90	4.5	4.2	辑巢辑	240	6.0	1014.1	-	53	
2023/02/01 07:40:00	8.6	合辑	318	10.60	0.64	4.3	1.00	4.0	3.9	辑巢辑	243	5.6	1014.1	-	340	
2023/02/01 07:45:00	11.9	合合辑	333	10.55	0.72	4.3	1.02	4.5	3.4	辑巢辑	241	5.7	1014.2	-	133	
2023/02/01 07:50:00	10.5	合合辑	337	10.59	0.66	4.3	1.03	4.0	2.3	辑巢辑	255	5.8	1014.3	-	354	
2023/02/01 07:55:00	12.5	合辑	325	10.58	0.52	4.4	0.88	5.0	1.8	辑巢辑	241	5.8	1014.2	-	164	
2023/02/01 08:00:00	11.3	合合辑	335	10.58	0.55	4.2	0.78	4.0	3.0	辑巢辑	246	5.8	1014.3	-	185	
2023/02/01 08:05:00	14.4	合辑	325	10.72	0.57	4.3	0.79	4.5	3.0	辑巢辑	251	5.7	1014.4	-	284	
2023/02/01 08:10:00	20.0	合辑	310	11.37	0.61	4.3	0.79	4.0	2.5	辑	260	5.9	1014.4	-	252	
2023/02/01 08:15:00	21.6	合辑	320	11.45	0.53	4.4	0.76	4.5	3.2	辑巢辑	247	5.8	1014.5	-	144	
2023/02/01 08:20:00	21.3	合辑	314	11.44	0.62	4.3	0.81	4.0	2.6	辑巢辑	248	5.5	1014.5	-	134	
2023/02/01 08:25:00	21.4	合辑	321	11.42	0.56	4.3	0.71	4.5	2.1	辑巢辑	254	5.7	1014.6	-	341	
2023/02/01 08:30:00	20.4	合辑	319	11.40	0.51	4.0	1.06	4.5	2.6	辑巢辑	247	5.9	1014.6	-	194	
2023/02/01 08:35:00	18.7	合辑	306	11.37	0.55	4.4	0.75	4.5	2.7	辑巢辑	246	5.8	1014.7	-	359	
2023/02/01 08:40:00	23.0	合辑	314	11.34	0.61	4.5	0.89	4.0	2.8	辑巢辑	258	5.8	1014.7	-	27	
2023/02/01 08:45:00	22.9	合辑	313	11.36	0.62	4.4	0.76	5.0	2.5	辑巢辑	257	5.9	1014.8	-	171	
2023/02/01 08:50:00	20.7	合辑	315	11.37	0.57	4.4	0.80	3.5	3.4	辑巢辑	254	6.0	1014.8	-	22	
2023/02/01 08:55:00	23.2	合辑	320	11.38	0.63	4.7	0.91	5.5	2.6	辑合辑	282	5.9	1014.9	-	343	
2023/02/01 09:00:00	22.6	合辑	312	11.39	0.73	4.5	1.02	4.5	3.1	辑合辑	282	6.0	1014.9	-	296	
2023/02/01 09:05:00	20.6	合辑	311	11.39	0.70	4.4	1.04	5.0	3.0	辑	269	5.9	1014.9	-	12	
2023/02/01 09:10:00	19.5	合辑	315	11.33	0.65	4.1	0.86	3.5	3.7	辑	276	6.0	1014.9	-	238	
2023/02/01 09:15:00	18.7	辑合辑	301	11.24	0.71	4.5	1.07	4.5	3.1	辑	261	6.0	1015.0	-	351	
2023/02/01 09:20:00	22.2	合辑	319	11.29	0.72	4.5	1.08	4.5	3.2	辑	281	6.2	1015.0	-	324	
2023/02/01 09:25:00	18.7	合辑	312	11.28	0.64	4.3	0.90	4.0	4.0	辑	269	6.2	1015.1	-	178	
2023/02/01 09:30:00	18.2	辑合辑	302	11.28	0.78	4.7	1.17	4.0	6.1	合合辑	330	6.7	1015.1	-	4	
2023/02/01 09:35:00	14.0	辑合辑	288	11.29	0.84	4.5	1.28	4.0	6.7	合合辑	339	7.1	1015.0	-	353	
2023/02/01 09:40:00	18.2	合辑	322	11.23	0.71	4.3	1.16	4.0	7.0	合合辑	343	6.9	1015.0	-	207	
2023/02/01 09:45:00	14.5	合辑	305	11.14	0.81	4.4	1.21	4.0	5.9	合合辑	337	6.9	1015.0	-	15	
2023/02/01 09:50:00	14.5	合辑	304	11.08	0.82	4.2	1.12	4.0	5.5	合合辑	329	6.9	1015.0	-	317	
2023/02/01 09:55:00	15.0	合辑	307	11.13	0.81	4.5	0.98	4.5	5.9	合合辑	330	6.9	1015.1	-	346	
2023/02/01 10:00:00	18.4	合辑	312	11.11	0.68	3.9	0.92	4.0	6.0	合合辑	338	6.8	1015.1	-	242	
2023/02/01 10:05:00	14.5	合辑	313	11.09	0.74	4.3	1.05	4.5	5.8	合合辑	334	6.9	1015.1	-	350	
2023/02/01 10:10:00	14.2	合辑	307	11.06	0.71	4.2	0.95	5.0	6.5	合合辑	347	7.0	1015.1	-	92	
2023/02/01 10:15:00	15.0	合辑	308	11.05	0.81	4.4	1.31	4.5	6.3	合合辑	337	7.0	1015.1	-	340	
2023/02/01 10:20:00	18.8	合辑	314	11.06	0.80	4.0	0.95	3.5	6.8	合合辑	343	6.9	1015.1	-	342	
2023/02/01 10:25:00	16.6	合辑	310	11.02	0.77	4.4	1.49	4.5	6.7	合合辑	345	6.9	1015.0	-	301	
2023/02/01 10:30:00	14.3	合辑	312	10.95	0.84	4.4	1.14	4.5	7.6	合	354	6.9	1015.1	-	353	
2023/02/01 10:35:00	14.3	合辑	313	10.95	0.76	4.2	0.96	5.0	7.4	合	354	6.9	1015.1	-	354	
2023/02/01 10:40:00	16.6	合辑	313	10.93	0.73	4.3	1.21	3.5	7.2	合	365	7.0	1015.1	-	38	
2023/02/01 10:45:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2023/02/01 10:50:00	12.4	合辑	305	10.90	0.72	4.2	1.03	4.0	7.5	合	359	7.0	1015.0	-	55	
2023/02/01 10:55:00	12.2	辑合辑	302	10.88	0.73	4.4	1.23	4.0	7.9	合合辑	344	7.0	1015.0	-	344	
2023/02/01 11:00:00	10.5	合辑	318	10.89	0.82	4.1	1.12	5.0	8.2	合合辑	348	7.1	1014.9	-	33	
2023/02/01 11:05:00	20.9	合辑	317	11.02	0.81	4.2	1.17	4.5	9.4	合	354	7.1	1014.8	-	251	
2023/02/01 11:10:00	17.5	合辑	319	11.07	0.80	4.5	1.19	4.5	8.9	合	349	7.2	1014.8	-	86	
2023/02/01 11:15:00	19.6	合辑	321	11.10	0.96	4.6	1.30	4.5	9.5	合合辑	332	7.3	1014.7	-	328	
2023/02/01 11:20:00	17.7	合合辑	330	11.10	0.88	4.3	1.17	4.0	9.2	合	352	7.1	1014.7	-	306	
2023/02/01 11:25:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2023/02/01 11:30:00	14.2	合辑	323	11.07	0.89	4.3	1.20	4.0	9.3	合辑	307	7.5	1014.5	-	335	
2023/02/01 11:35:00	14.2	合辑	322	11.05	0.88	4.2	1.17	5.0	8.2	合辑	316	7.6	1014.5	-	320	
2023/02/01 11:40:00	14.4	合辑	324	10.99	1.02	4.5	1.42	4.0	8.5	辑合辑	301	7.5	1014.5	-	2	
2023/02/01 11:45:00	14.5	合合辑	328	11.03	0.98	4.4	1.38	4.5	9.0	辑合辑	300	7.8	1014.3	-	329	
2023/02/01 11:50:00	12.1	合合辑	342	11.02	0.86	4.4	1.18	4.0	9.5	合辑	307	7.9	1014.3	-	4	
2023/02/01 11:55:00	12.1	合辑	314	10.98	0.82	4.3	1.20	4.5	9.5	辑合辑	284	7.8	1014.2	-	335	
2023/02/01 12:00:00	13.7	合合辑	345	10.98	0.85	4.5	1.27	4.0	9.4	辑合辑	303	7.8	1014.1	-	61	
2023/02/01 12:05:00	12.3	合合辑	338	10.93	0.84	4.4	1.46	4.5	9.9	合辑	312	8.0	1014.1	-	343	
2023/02/01 12:10:00	9.0	合辑	326	10.91	0.94	4.6	1.33	4.5	9.6	辑合辑	300	7.9	1014.0	-	345	
2023/02/01 12:15:00	9.8	合辑	326	10.87	0.85	4.2	1.19	4.0	9.1	辑合辑	296	8.0	1013.9	-	357	
2023/02/01 12:20:00	7.6	合合辑	328	10.83	0.95	4.4	1.27	4.0	9.4	辑合辑	299	7.9	1013.9	-	13	
2023/02/01 12:25:00	11.6	合合辑	344	10.84	0.94	4.5	1.30	4.5	10.4	辑合辑	288	7.8	1013.8	-	342	
2023/02/01 12:30:00	11.2	合合辑	337	10.75	0.87	4.6	1.62	4.5	10.5	合辑	325	7.7	1013.7	-	346	
2023/02/01 12:35:00	10.7	合合辑	348	10.74	0.95	4.4	1.19	4.0	7.8	合合辑	335	7.6	1013.8	-	7	
2023/02/01 12:40:00	13.1	合	354	10.74	0.96	4.4	1.23	4.0	9.4	合合辑	344	7.4	1013.8	-	350	
2023/02/01 12:45:00	9.3	合合辑	341	10.74	0.83	4.5	1.38	4.0	9.1	合合辑	346	7.5	1013.8	-	359	
2023/02/01 12:50:00	8.7	合合辑	344	10.74	0.85	4.4	1.13	4.0	9.1	合合辑	340	7.4	1013.7	-	47	
2023/02/01 12:55:00	8.2	合辑	321	10.72	1.02	4.9	1.41	4.5	8.6	合合辑	342	7.6	1013.6	-	346	
2023/02/01 13:00:00	9.3	合辑	323	10.74	1.04	4.4	1.49	4.5	9.3	合合辑	327	7.4	1013.6	-	353	
2023/02/01 13:05:00	9.9	合辑	324	10.78	0.99	4.4	1.31	4.0	9.7	合合辑	330	7.5	1013.6	-	350	
2023/02/01 13:10:00	10.4	合	351	10.77	0.98	4.2	1.31	3.5	9.2	辑合辑	295	7.8	1013.5	-	4	
2023/02/01 13:15:00	6.9	合辑	326	10.72	0.78	4.2	1.16	4.5	8.7	合辑	309	7.7	1013.6	-	10	
2023/02/01 13:20:00	13.4	合合辑	348	10.77	1.07	4.7	1.41	5.0	10.0	辑合辑	298	7.7	1013.5	-	334	
2023/02/01 13:25:00	9.1	合	350	10.79	0.86	4.5	1.33	4.5	10.9	辑合辑	287	7.8	1013.4	-	2	
2023/02/01 13:30:00	12.9	合合辑	342	10.78	1.00	4.9	1.33	5.0	11.4	辑合辑	289	7.8	1013.5	-	358	
2023/02/01 13:35:00	14.0	合	365	10.82	0.93	4.6	1.33	4.5	12.2	辑合辑	287	7.7	1013.4	-	324	
2023/02/01 13:40:00	11.7	合	352	10.86	1.02	4.6	1.42	5.0	10.8	辑合辑	298	7.6	1013.5	-	320	
2023/02/01 13:45:00	13.4	合合辑	342	10.88	1.07	4.6	1.34	5.0	12.1	辑合辑	298	7.7	1013.4	-	359	
2023/02/01 13:50:00	12.1	合合辑	339	10.92	0.82	4.5	1.35	4.0	11.4	辑合辑	298	7.9	1013.5	-	69	
2023/02/01 13:55:00	14.7	合合辑	339	11.03	1.02	4.9	1.62	5.5	11.3	辑	279	7.9	1013.5	-	337	
2023/02/01 14:00:00	17.3	合	365	11.15	0.93	5.0	1.62	4.5	11.1	辑合辑	292	7.8	1013.5	-	335	
2023/02/01 14:05:00	15.6	合合悼	16	11.22	1.01	4.9	1.49	4.0	12.1	辑合辑	291	7.7	1013.5	-	343	
2023/02/01 14:10:00	9.8	合	10	11.22	0.98	4.7	1.51	5.0	12.3	辑合辑	292	7.8	1013.4	-	349	
2023/02/01 14:15:00	15.8	合	10	11.23	1.16	4.7	1.59	4.5	11.8	辑合辑	287	7.7	1013.5	-	332	
2023/02/01 14:20:00	12.7	合合悼	12	11.30	1.05	4.9	1.51	4.5	9.9	辑合辑	296	7.7	1013.7	-	342	
2023/02/01 14:25:00	10.7	合悼	41	11.30	1.09	4.5	1.49	5.5	9.6	辑合辑	286	7.9	1013.8	-	328	
2023/02/01 14:30:00	10.9	合悼	43	11.35	1.03	4.8	1.24	5.0	9.6	辑合辑	286	7.7	1013.9	-	336	
2023/02/01 14:35:00	10.7	合	359	11.38	1.12	4.8	1.70	5.0	10.7	辑合辑	289	7.9	1013.9	-	349	
2023/02/01 14:40:00	12.1	合合悼	13	11.35	0.93	4.5	1.32	4.5	9.4	辑合辑	290	7.8	1014.0	-	344	
2023/02/01 14:45:00	11.6	合	355	11.37	1.08	5.0	1.51	5.5	9.0	辑合辑	296	7.8	1014.0	-	19	
2023/02/01 14:50:00	13.5	合合悼	14	11.33	1.07	4.8	1.39	4.5	8.8	辑合辑	282	8.0	1014.1	-	339	
2023/02/01 14:55:00	12.5	合	368	11.34	1.14	4.7	1.67	5.0	7.1	辑合辑	294	7.9	1014.3	-	346	
2023/02/01 15:00:00	12.3	合	367	11.31	1.06	4.9	1.63	4.5	6.4	合辑	309	7.9	1014.3	-	339	
2023/02/01 15:05:00	15.6	合	367	11.30	1.06	4.8	1.33	5.0	8.3	合辑	326	8.0	1014.3	-	335	
2023/02/01 15:10:00	9.4	合	349	11.31	1.06	5.1	1.58	4.5	8.3	合辑	311	7.9	1014.3	-	342	
2023/02/01 15:15:00	9.8	合	365	11.30	1.15	4.9	1.58	5.0	6.9	合辑	306	8.0	1014.4	-	348	
2023/02/01 15:20:00	11.2	合合辑	338	11.27	1.09	4.9	2.00	4.5	7.5	合辑	311	8.2	1014.5	-	15	
2023/02/01 15:25:00	12.1	合	355	11.25	1.09	5.0	1.53	5.0	8.0	辑合辑	303	8.1	1014.6	-	2	
2023/02/01 15:30:00	14.2	合	352	11.26	1.03	4.8	1.58	5.0	6.8	合辑	319	8.0	1014.6	-	352	
2023/02/01 15:35:00	7.1	合合辑	331	11.26	1.16	4.9	1.62	5.0	5.9	合辑	304	7.9	1014.7	-	325	
2023/02/01 15:40:00	15.5	合合辑	332	11.23	1.11	5.0	1.67	5.0	7.9	合辑	324	8.0	1014.8	-	344	
2023/02/01 15:45:00	9.6	合合辑	328	11.22	1.21	4.9	1.46	5.0	8.4	合合辑	329	7.8	1014.8	-	359	
2023/02/01 15:50:00	9.6	合合辑	339	11.23	1.14	4.5	1.57	5.0	8.3	合合辑	336	7.8	1014.9	-	355	
2023/02/01 15:55:00	17.8	合合辑	346	11.27	1.08	5.0	1.68	5.0	8.8	合合辑	327	7.8	1015.0	-	4	
2023/02/01 16:00:00	11.0	合辑	323	11.26	1.05	4.9	1.47	5.0	9.3	合合辑	335	7.7	1015.0	-	16	
2023/02/01 16:05:00	14.6	合合辑	327	11.33	1.06	5.1	1.50	4.5	8.7	合辑	313	7.9	1015.1	-	349	
2023/02/01 16:10:00	11.9	合辑	313	11.38	1.06	5.0	1.52	5.5	8.7	合辑	313	7.8	1015.3	-	9	
2023/02/01 16:15:00	14.2	合辑	325	11.45	1.30	4.9	1.74	5.0	9.5	合辑	323	7.5	1015.4	-	341	
2023/02/01 16:20:00	21.2	合辑	323	11.78	1.34	5.1	2.17	5.0	10.4	合合辑	336	7.4	1015.5	-	358	
2023/02/01 16:25:00	17.7	合辑	313	12.02	1.36	5.2	1.87	5.0	10.9	合合辑	329	7.3	1015.6	-	355	
2023/02/01 16:30:00	16.1	合辑	307	12.12	1.20	5.6	1.59	5.0	10.9	合合辑	338	7.2	1015.7	-	2	
2023/02/01 16:35:00	21.2	合辑	324	12.10	1.30	5.2	1.66	5.5	9.8	合合辑	332	7.2	1015.9	-	16	
2023/02/01 16:40:00	13.2	合辑	305	12.12	1.38	5.5	1.83	5.5	11.4	合辑	317	7.2	1016.0	-	4	
