관측소명:경포대해수욕장
위도:37.808972
경도:128.931889
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)		풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2022/08/01 01:30:00	12.5	남남서	192	25.12	0.64	4.5	1.07	4.5	0.8	남서	230	24.9	1007.0	-	237	
2022/08/01 01:35:00	10.6	남남서	203	25.05	0.67	4.3	1.01	4.5	0.5	북서	306	25.0	1006.9	-	188	
2022/08/01 01:40:00	10.0	남남서	196	25.05	0.54	4.0	0.76	4.5	0.3	서	270	25.0	1006.8	-	113	
2022/08/01 01:45:00	11.1	남남서	214	25.10	0.64	4.3	0.93	4.5	0.7	동남동	107	25.0	1006.7	-	117	
2022/08/01 01:50:00	14.1	남남서	204	25.10	0.73	4.9	0.89	6.0	1.1	남동	137	25.1	1006.6	-	122	
2022/08/01 01:55:00	10.8	남남서	203	25.13	0.71	4.3	1.24	4.5	2.2	남남동	154	25.2	1006.5	-	99	
2022/08/01 02:00:00	9.6	남	187	25.12	0.73	4.5	1.00	4.0	2.4	남남동	160	25.2	1006.5	-	119	
2022/08/01 02:05:00	9.0	남	187	25.10	0.76	4.4	0.99	4.0	2.2	남	181	25.3	1006.5	-	118	
2022/08/01 02:10:00	7.6	남	185	25.06	0.71	4.0	0.91	4.0	1.6	남남동	165	25.3	1006.5	-	276	
2022/08/01 02:15:00	10.3	남남서	196	25.06	0.73	4.3	0.86	4.0	1.0	남남서	201	25.4	1006.5	-	246	
2022/08/01 02:20:00	7.3	남남서	193	25.10	0.67	4.4	0.88	3.5	1.4	서	259	25.4	1006.5	-	145	
2022/08/01 02:25:00	5.4	남서	219	25.08	0.75	4.4	1.00	4.5	1.2	서남서	257	25.3	1006.5	-	356	
2022/08/01 02:30:00	9.0	남	186	25.07	0.67	4.4	1.08	5.0	1.1	북서	305	25.1	1006.4	-	118	
2022/08/01 02:35:00	5.6	남남서	200	25.09	0.73	4.5	1.15	4.0	0.4	서남서	248	25.0	1006.2	-	72	
2022/08/01 02:40:00	5.3	남남동	167	25.04	0.83	4.3	1.14	4.5	1.0	남서	222	25.1	1006.2	-	91	
2022/08/01 02:45:00	9.0	남남동	162	25.04	0.70	4.5	1.08	4.0	2.8	북서	304	25.0	1006.3	-	84	
2022/08/01 02:50:00	6.4	남남동	154	25.10	0.79	4.4	0.98	4.0	2.2	북북서	328	24.8	1006.3	-	101	
2022/08/01 02:55:00	2.7	남동	139	24.94	0.79	4.5	1.23	4.5	1.8	북서	305	24.8	1006.3	-	36	
2022/08/01 03:00:00	3.9	남남동	162	24.99	0.76	4.7	1.05	4.5	1.6	북북서	340	24.8	1006.2	-	193	
2022/08/01 03:05:00	3.8	동북동	70	24.90	0.70	4.8	0.98	4.5	2.2	북서	321	24.9	1006.2	-	130	
2022/08/01 03:10:00	3.7	동남동	118	24.86	0.75	4.6	1.26	4.5	1.1	북북서	339	24.8	1006.2	-	104	
2022/08/01 03:15:00	6.6	동	86	24.89	0.64	4.2	0.93	4.5	1.7	북서	316	24.8	1006.3	-	128	
2022/08/01 03:20:00	1.9	동북동	68	24.93	0.76	4.5	0.95	4.5	2.0	북서	310	24.8	1006.3	-	119	
2022/08/01 03:25:00	4.4	동북동	66	24.96	0.67	4.8	0.99	4.0	2.4	북서	323	24.8	1006.3	-	146	
2022/08/01 03:30:00	5.8	동	99	24.97	0.80	4.9	1.17	5.0	1.7	북서	324	24.8	1006.3	-	100	
2022/08/01 03:35:00	3.5	동	93	24.99	0.73	4.5	1.10	4.0	1.4	북서	317	24.8	1006.3	-	45	
2022/08/01 03:40:00	2.7	남남동	154	24.92	0.74	4.5	0.99	4.5	1.3	북서	320	24.8	1006.2	-	107	
2022/08/01 03:45:00	7.2	남남서	200	25.16	0.65	4.2	0.85	4.5	1.4	북북서	345	24.8	1006.1	-	259	
2022/08/01 03:50:00	5.1	남남동	159	25.21	0.76	4.4	1.23	4.0	0.8	서	279	24.8	1006.1	-	110	
2022/08/01 03:55:00	5.8	남남서	199	25.21	0.78	4.4	0.92	4.0	0.4	남서	224	24.8	1006.0	-	109	
2022/08/01 04:00:00	6.8	남	174	25.26	0.80	4.3	1.06	4.5	1.3	서남서	247	24.9	1006.0	-	138	
2022/08/01 04:05:00	5.0	남남서	213	25.19	0.75	4.4	1.04	4.5	1.4	서남서	244	24.8	1006.0	-	106	
2022/08/01 04:10:00	4.7	남서	222	25.10	0.67	4.6	0.99	5.0	0.6	서남서	238	24.8	1005.9	-	93	
2022/08/01 04:15:00	6.6	남	174	25.24	0.77	4.8	1.19	4.0	0.9	남서	233	24.8	1006.0	-	271	
2022/08/01 04:20:00	8.3	남남동	168	25.27	0.65	4.7	0.88	4.5	1.5	남남서	199	24.8	1006.0	-	112	
2022/08/01 04:25:00	8.1	남동	138	25.26	0.83	4.5	1.02	4.0	1.7	남서	228	24.8	1006.1	-	125	
2022/08/01 04:30:00	2.4	남	176	25.28	0.71	5.0	1.10	6.0	1.3	남서	222	24.8	1006.0	-	116	
2022/08/01 04:35:00	6.3	남동	146	25.27	0.75	4.7	1.32	4.5	1.2	남	178	24.8	1006.0	-	120	
2022/08/01 04:40:00	4.8	남동	136	25.22	0.70	4.7	0.93	4.5	1.4	남서	219	24.9	1006.1	-	122	
2022/08/01 04:45:00	6.1	남남동	158	25.16	0.64	4.6	0.84	5.0	1.3	남서	216	24.9	1006.1	-	121	
2022/08/01 04:50:00	5.9	동	97	24.93	0.69	4.5	0.99	5.0	1.1	남남서	202	24.9	1006.1	-	144	
2022/08/01 04:55:00	8.3	동남동	111	24.93	0.78	4.5	1.03	5.0	1.8	남남서	202	24.9	1006.1	-	102	
2022/08/01 05:00:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2022/08/01 05:05:00	6.7	남동	144	25.11	0.73	4.5	1.18	4.0	2.0	남	178	24.9	1006.1	-	117	
2022/08/01 05:10:00	8.6	남남동	147	25.11	0.68	4.7	0.88	5.0	3.0	남동	143	24.8	1006.2	-	124	
2022/08/01 05:15:00	4.8	남동	125	25.04	0.72	4.2	0.99	4.0	2.3	남남서	212	24.8	1006.3	-	127	
2022/08/01 05:20:00	8.8	남동	129	24.99	0.73	4.9	0.91	4.5	2.1	남남서	201	24.8	1006.2	-	130	
2022/08/01 05:25:00	3.7	동남동	110	24.91	0.70	4.4	1.00	4.5	1.8	남	185	24.8	1006.2	-	193	
2022/08/01 05:30:00	6.4	남동	141	25.09	0.67	4.8	0.86	4.5	1.1	남남서	209	24.9	1006.3	-	117	
2022/08/01 05:35:00	4.7	남동	144	25.14	0.84	4.6	1.12	5.0	2.4	남	174	25.0	1006.3	-	93	
2022/08/01 05:40:00	5.9	남	180	25.11	0.76	4.5	0.97	4.5	4.5	남서	217	25.4	1006.4	-	116	
2022/08/01 05:45:00	6.9	남남동	148	25.04	0.81	4.5	1.08	4.0	5.9	남	174	25.7	1006.4	-	126	
2022/08/01 05:50:00	7.5	남남서	200	25.16	0.74	4.5	1.01	3.5	4.9	남남동	157	25.8	1006.4	-	109	
2022/08/01 05:55:00	12.4	남	178	25.19	0.71	4.1	1.15	5.0	6.5	남동	141	25.6	1006.4	-	129	
2022/08/01 06:00:00	9.1	남	190	25.17	0.80	4.5	1.05	4.5	7.6	남동	134	25.6	1006.3	-	131	
2022/08/01 06:05:00	12.1	남남서	202	25.20	0.80	4.3	1.03	4.5	7.3	남동	130	25.4	1006.3	-	113	
2022/08/01 06:10:00	14.2	남	183	25.23	0.76	4.2	1.00	4.0	6.4	남동	128	25.4	1006.4	-	126	
2022/08/01 06:15:00	13.0	남남동	165	25.16	0.76	4.4	1.16	4.0	6.9	남동	128	25.4	1006.4	-	124	
2022/08/01 06:20:00	9.4	남동	145	24.80	0.77	4.4	0.97	3.5	7.0	남동	130	25.5	1006.4	-	138	
2022/08/01 06:25:00	6.8	남동	138	24.79	0.82	4.5	1.13	4.5	7.0	남동	131	25.5	1006.5	-	113	
2022/08/01 06:30:00	9.2	남남동	160	24.49	0.83	4.3	1.14	3.5	6.6	남동	136	25.6	1006.5	-	193	
2022/08/01 06:35:00	5.2	남동	131	24.50	0.75	4.2	1.26	4.5	7.3	남동	135	25.7	1006.5	-	145	
2022/08/01 06:40:00	6.4	남남동	157	24.50	0.80	4.5	1.21	4.5	7.4	남동	137	25.7	1006.6	-	121	
2022/08/01 06:45:00	6.7	남남동	168	24.82	0.82	4.4	1.17	4.0	7.1	남동	138	25.7	1006.6	-	130	
2022/08/01 06:50:00	7.2	남남동	150	24.34	0.85	4.9	1.47	4.5	6.4	남동	139	25.7	1006.7	-	301	
2022/08/01 06:55:00	8.1	남남동	159	24.52	0.79	4.1	1.65	4.5	6.4	남동	146	25.7	1006.8	-	278	
2022/08/01 07:00:00	4.2	남동	132	23.93	0.79	4.0	1.11	4.5	5.3	남남동	156	25.8	1006.8	-	330	
2022/08/01 07:05:00	3.8	동남동	119	24.07	0.77	4.6	1.02	4.5	5.8	남동	143	26.0	1006.8	-	353	
2022/08/01 07:10:00	6.7	남남동	154	24.35	0.79	4.1	1.32	4.0	5.4	남남동	148	25.9	1006.8	-	288	
2022/08/01 07:15:00	1.8	동남동	117	24.66	0.80	4.6	1.14	3.5	5.4	남남동	154	26.5	1006.8	-	120	
2022/08/01 07:20:00	7.8	남	182	24.89	0.84	4.5	1.56	4.5	5.0	남	169	27.2	1006.9	-	105	
2022/08/01 07:25:00	1.9	남동	124	24.89	0.76	4.4	1.41	4.5	5.1	남남동	163	27.0	1006.8	-	128	
2022/08/01 07:30:00	6.8	남남동	158	24.68	0.76	4.3	1.15	4.5	5.5	남동	142	26.9	1006.8	-	119	
2022/08/01 07:35:00	3.3	남동	138	24.76	0.75	4.4	1.01	4.5	5.7	남동	138	26.5	1006.8	-	108	
2022/08/01 07:40:00	2.4	서	274	24.89	0.71	4.2	0.97	3.5	5.4	남동	145	26.3	1006.8	-	132	
2022/08/01 07:45:00	2.6	북북동	20	24.87	0.72	4.4	0.98	4.0	5.1	남남동	147	26.3	1006.8	-	95	
2022/08/01 07:50:00	4.5	동북동	78	24.78	0.66	4.4	1.05	4.5	5.9	남남동	151	26.3	1006.9	-	122	
2022/08/01 07:55:00	1.4	동북동	72	24.79	0.64	4.5	0.97	4.5	5.2	남남동	149	26.3	1006.9	-	128	
2022/08/01 08:00:00	3.4	북서	325	24.86	0.73	4.3	1.04	4.5	5.4	남남동	159	26.2	1007.0	-	114	
2022/08/01 08:05:00	2.9	서북서	289	24.91	0.74	4.6	1.06	3.5	4.7	남	169	26.1	1007.0	-	129	
2022/08/01 08:10:00	2.4	동북동	67	24.96	0.67	4.7	0.99	4.5	6.2	남남동	154	26.0	1006.8	-	139	
2022/08/01 08:15:00	4.4	북서	325	24.89	0.71	4.8	1.05	4.5	5.2	남	169	26.0	1006.9	-	88	
2022/08/01 08:20:00	1.7	동	84	24.79	0.64	4.3	1.06	4.5	5.6	남남동	164	26.0	1006.9	-	317	
2022/08/01 08:25:00	4.1	동	83	24.78	0.58	4.3	0.89	4.5	5.8	남남동	159	25.9	1006.9	-	90	
2022/08/01 08:30:00	5.7	북	3	24.81	0.63	4.4	0.79	4.5	5.4	남	173	25.8	1006.9	-	186	
2022/08/01 08:35:00	5.2	동북동	66	24.80	0.72	4.7	0.95	5.5	6.8	남남동	158	25.9	1006.7	-	295	
2022/08/01 08:40:00	7.2	북북동	33	24.95	0.65	4.6	1.22	4.5	6.8	남남동	160	25.9	1006.7	-	125	
2022/08/01 08:45:00	8.6	북동	34	24.92	0.58	4.4	0.82	5.0	5.8	남	171	25.8	1006.8	-	109	
2022/08/01 08:50:00	10.5	북북동	33	24.94	0.60	4.3	0.83	5.0	5.8	남	174	25.8	1006.9	-	128	
2022/08/01 08:55:00	9.2	동북동	59	24.89	0.68	4.5	1.13	5.0	5.4	남	176	25.9	1007.1	-	140	
2022/08/01 09:00:00	8.7	북동	40	24.86	0.60	4.3	0.95	4.5	4.3	남서	215	25.9	1007.3	-	115	
2022/08/01 09:05:00	8.5	북동	48	24.90	0.66	4.6	0.99	4.0	4.5	남남서	204	26.4	1007.3	-	132	
2022/08/01 09:10:00	9.8	동북동	68	24.93	0.72	4.8	1.18	5.0	4.5	남남서	201	26.7	1007.3	-	114	
2022/08/01 09:15:00	9.9	동북동	64	24.92	0.60	4.3	0.75	3.5	5.4	남남동	161	26.3	1007.2	-	120	
2022/08/01 09:20:00	7.6	북동	53	24.89	0.66	4.6	1.00	5.0	6.2	남남동	155	26.3	1007.1	-	165	
2022/08/01 09:25:00	11.7	북동	45	24.90	0.68	4.6	0.91	4.5	4.6	남남동	165	26.1	1007.2	-	125	
2022/08/01 09:30:00	11.5	동북동	73	24.85	0.62	4.7	0.82	3.5	3.6	남	187	26.0	1007.2	-	110	
2022/08/01 09:35:00	7.4	북동	45	24.92	0.63	4.6	0.93	4.0	4.0	남	189	25.8	1007.3	-	116	
2022/08/01 09:40:00	10.5	북동	49	24.92	0.66	4.8	0.89	4.5	3.3	남남서	197	25.8	1007.4	-	131	
2022/08/01 09:45:00	11.9	북동	44	24.96	0.65	4.8	0.87	4.5	3.6	남서	219	25.9	1007.5	-	305	
2022/08/01 09:50:00	8.1	북동	56	24.93	0.66	4.4	0.90	5.0	3.3	남남서	207	26.2	1007.6	-	121	
2022/08/01 09:55:00	5.9	동북동	68	24.93	0.58	4.3	0.88	4.0	5.1	남남서	198	26.5	1007.6	-	62	
2022/08/01 10:00:00	7.5	동북동	76	24.97	0.60	4.8	0.87	4.5	5.1	남	180	26.9	1007.6	-	120	
2022/08/01 10:05:00	6.5	북동	53	24.96	0.58	4.5	0.85	5.0	4.9	남	185	27.4	1007.6	-	153	
2022/08/01 10:10:00	7.3	동	90	24.87	0.58	4.4	1.07	4.5	6.0	남	181	27.6	1007.6	-	129	
2022/08/01 10:15:00	5.8	동북동	66	24.84	0.58	4.5	0.83	4.5	4.3	남	185	27.4	1007.7	-	133	
2022/08/01 10:20:00	2.5	북동	52	24.78	0.57	4.6	0.73	4.5	3.4	남	191	27.4	1007.7	-	154	
2022/08/01 10:25:00	3.5	북동	47	24.83	0.53	4.6	0.86	5.0	4.2	남	173	27.3	1007.7	-	113	
2022/08/01 10:30:00	4.6	동	89	24.77	0.59	4.6	1.12	5.0	0.9	남	191	27.0	1007.8	-	122	
2022/08/01 10:35:00	5.8	동	96	24.83	0.56	4.4	0.76	5.0	1.3	남남동	156	26.5	1007.9	-	84	
2022/08/01 10:40:00	6.1	동	98	24.74	0.60	4.7	0.76	4.5	3.1	남	172	26.2	1007.9	-	120	
2022/08/01 10:45:00	5.8	동	89	24.67	0.56	4.7	0.73	3.5	3.2	남남동	152	25.8	1007.9	-	126	
2022/08/01 10:50:00	6.7	동남동	113	24.59	0.58	4.5	0.82	4.5	4.2	남동	141	25.5	1007.9	-	116	
2022/08/01 10:55:00	10.3	동남동	118	24.52	0.60	4.7	0.76	4.0	4.7	남동	136	25.5	1007.9	-	118	
2022/08/01 11:00:00	8.4	동남동	104	24.61	0.50	4.5	0.74	4.5	6.1	동남동	116	25.4	1007.8	-	109	
2022/08/01 11:05:00	9.4	동남동	109	24.27	0.65	4.7	0.84	4.5	6.9	동남동	120	25.4	1007.7	-	129	
2022/08/01 11:10:00	8.0	동남동	119	24.08	0.59	4.5	0.75	5.0	6.6	남동	136	25.4	1007.8	-	123	
2022/08/01 11:15:00	8.2	남동	126	23.97	0.52	4.5	0.81	4.5	6.5	남남동	148	25.4	1007.8	-	339	
2022/08/01 11:20:00	6.9	남동	129	23.94	0.54	4.7	0.93	5.0	6.8	남남동	151	25.6	1007.8	-	127	
2022/08/01 11:25:00	4.5	동남동	114	23.76	0.59	4.9	0.97	4.5	7.4	남동	135	25.8	1007.8	-	133	
2022/08/01 11:30:00	7.0	동남동	114	23.71	0.55	4.6	0.89	4.0	7.1	남동	131	25.7	1007.9	-	114	
2022/08/01 11:35:00	7.1	동남동	116	23.57	0.63	4.9	1.10	4.0	6.5	남동	128	25.6	1007.9	-	117	
2022/08/01 11:40:00	6.9	동남동	118	23.56	0.58	4.3	0.83	4.5	7.1	남동	132	25.6	1007.8	-	122	
2022/08/01 11:45:00	4.1	남동	135	23.49	0.65	4.7	1.00	4.5	7.0	남동	131	25.4	1007.8	-	116	
2022/08/01 11:50:00	8.5	남동	128	23.44	0.62	4.7	0.85	3.5	7.4	남동	125	25.3	1007.8	-	110	
2022/08/01 11:55:00	7.2	남동	139	23.48	0.67	4.7	1.14	5.0	7.5	동남동	121	25.2	1007.8	-	168	
2022/08/01 12:00:00	4.6	남동	131	23.49	0.59	4.6	0.79	5.5	7.3	동남동	123	25.2	1007.7	-	276	
2022/08/01 12:05:00	6.3	남동	131	23.43	0.58	4.6	0.90	4.5	7.6	남동	130	25.2	1007.7	-	132	
2022/08/01 12:10:00	4.2	남남동	151	23.44	0.60	4.9	0.85	6.0	7.6	남동	131	25.2	1007.7	-	109	
2022/08/01 12:15:00	6.3	남동	146	23.93	0.52	4.5	0.70	5.0	6.9	남동	131	25.3	1007.6	-	152	
2022/08/01 12:20:00	3.4	남동	133	23.99	0.54	4.7	0.92	5.5	6.2	남동	140	25.3	1007.7	-	128	
2022/08/01 12:25:00	6.5	남동	128	23.67	0.64	4.6	0.81	3.5	6.4	남동	141	25.4	1007.7	-	136	
2022/08/01 12:30:00	5.8	남남동	151	23.79	0.64	4.6	0.91	4.0	6.4	남동	139	25.3	1007.7	-	124	
2022/08/01 12:35:00	4.2	남	174	23.67	0.60	5.1	0.93	4.5	6.1	남동	143	25.3	1007.7	-	117	
2022/08/01 12:40:00	7.3	남남동	154	23.66	0.61	4.8	0.92	4.5	6.3	남남동	150	25.3	1007.7	-	147	
2022/08/01 12:45:00	6.8	남	175	23.58	0.66	5.0	0.95	4.5	7.0	남남동	151	25.4	1007.5	-	127	
2022/08/01 12:50:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2022/08/01 12:55:00	7.4	남	171	23.35	0.55	4.7	0.79	4.5	7.6	남동	141	25.9	1007.4	-	126	
2022/08/01 13:00:00	6.9	남남동	168	23.70	0.56	4.5	0.83	5.5	7.1	남동	143	25.9	1007.4	-	122	
2022/08/01 13:05:00	8.8	남	179	23.47	0.53	4.8	0.74	4.0	7.0	남동	140	25.8	1007.4	-	125	
2022/08/01 13:10:00	6.1	남	188	23.37	0.63	5.1	0.93	4.5	6.3	남동	139	25.7	1007.5	-	127	
2022/08/01 13:15:00	4.5	남	175	23.36	0.54	4.8	0.73	5.0	5.7	남동	141	25.7	1007.6	-	130	
2022/08/01 13:20:00	4.0	남남서	213	23.68	0.59	5.0	1.10	4.5	5.3	남동	137	25.5	1007.5	-	130	
2022/08/01 13:25:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2022/08/01 13:30:00	1.3	서	275	23.88	0.70	5.0	0.95	4.5	5.0	남남동	147	25.6	1007.6	-	121	
2022/08/01 13:35:00	3.5	남남서	208	23.87	0.62	5.1	0.90	5.0	5.5	남남동	151	25.9	1007.5	-	122	
2022/08/01 13:40:00	3.1	남	182	23.55	0.59	5.0	0.99	5.0	5.5	남남동	155	26.3	1007.4	-	121	
2022/08/01 13:45:00	0.7	서남서	244	23.95	0.63	4.6	0.88	4.5	5.4	남남동	150	26.5	1007.3	-	120	
2022/08/01 13:50:00	3.1	남남동	153	23.76	0.54	5.0	0.76	3.5	5.6	남동	145	27.0	1007.2	-	133	
2022/08/01 13:55:00	5.3	남	176	23.73	0.68	5.2	1.05	5.5	5.6	남동	145	27.1	1007.2	-	124	
2022/08/01 14:00:00	4.4	남남서	198	23.86	0.57	4.8	0.73	4.5	5.7	남동	141	27.4	1007.3	-	115	
2022/08/01 14:05:00	2.8	남	171	23.88	0.56	4.8	0.73	4.0	5.7	남동	141	27.7	1007.2	-	111	
2022/08/01 14:10:00	2.1	남	190	23.94	0.54	5.3	0.69	5.0	5.9	남동	132	26.8	1007.2	-	131	
2022/08/01 14:15:00	2.6	남남서	192	23.82	0.52	4.9	0.85	4.5	5.6	남동	128	25.6	1007.2	-	118	
2022/08/01 14:20:00	1.8	남	178	23.99	0.58	4.9	0.73	4.0	4.9	남동	132	25.5	1007.3	-	117	
2022/08/01 14:25:00	1.1	동남동	102	24.02	0.60	5.2	0.99	5.0	4.3	남동	132	25.5	1007.3	-	123	
2022/08/01 14:30:00	1.4	동북동	67	24.05	0.72	5.3	0.95	5.5	3.9	남동	131	25.5	1007.4	-	123	
2022/08/01 14:35:00	1.6	남남동	149	23.91	0.55	5.0	1.03	5.0	3.4	동	95	25.5	1007.4	-	134	
2022/08/01 14:40:00	3.0	남	172	23.83	0.62	5.1	0.84	5.0	4.0	동	81	25.6	1007.4	-	122	
2022/08/01 14:45:00	3.4	북서	304	23.75	0.63	5.2	0.81	5.0	3.7	동	92	25.9	1007.4	-	149	
2022/08/01 14:50:00	5.0	남	190	23.62	0.58	5.0	0.77	4.5	3.6	동남동	110	25.9	1007.5	-	128	
2022/08/01 14:55:00	3.3	서남서	240	23.64	0.62	4.9	0.86	4.0	4.0	동남동	118	25.8	1007.5	-	126	
2022/08/01 15:00:00	2.9	북서	304	23.82	0.52	5.0	0.77	5.0	4.2	동남동	118	25.9	1007.5	-	125	
2022/08/01 15:05:00	3.5	남남서	195	23.62	0.68	5.3	0.86	5.0	3.9	동남동	119	25.9	1007.5	-	127	
2022/08/01 15:10:00	5.5	서남서	237	23.66	0.55	4.9	0.83	5.5	3.9	동남동	121	25.9	1007.5	-	131	
2022/08/01 15:15:00	4.6	북서	317	23.78	0.59	5.2	0.77	4.5	3.9	남동	126	25.8	1007.5	-	129	
2022/08/01 15:20:00	7.4	서	271	23.70	0.65	5.0	1.17	5.0	3.1	남동	125	25.8	1007.5	-	122	
2022/08/01 15:25:00	3.2	남서	219	23.75	0.69	4.9	1.13	4.0	3.9	동남동	120	25.6	1007.5	-	121	
2022/08/01 15:30:00	2.4	북북동	24	23.95	0.54	5.1	0.83	5.0	3.4	남동	131	25.5	1007.5	-	122	
2022/08/01 15:35:00	4.2	북	4	23.99	0.59	5.1	0.89	4.5	3.5	남동	134	25.4	1007.5	-	124	
2022/08/01 15:40:00	2.1	북북서	348	23.96	0.63	5.1	0.78	4.0	3.0	남동	134	25.4	1007.5	-	122	
2022/08/01 15:45:00	0.7	남서	216	23.92	0.60	4.9	0.98	4.5	3.0	남동	141	25.4	1007.5	-	136	
2022/08/01 15:50:00	1.6	동	97	23.85	0.63	5.3	0.90	4.5	3.9	남동	143	25.5	1007.5	-	125	
2022/08/01 15:55:00	2.9	남남서	212	23.64	0.54	5.1	0.69	6.0	3.5	남동	141	25.5	1007.5	-	127	
2022/08/01 16:00:00	0.7	남동	128	23.56	0.64	5.1	0.91	4.5	2.5	북	356	25.5	1007.8	-	115	
2022/08/01 16:05:00	2.3	북북동	30	23.82	0.61	5.2	1.08	5.5	3.1	북북서	345	25.8	1007.7	-	128	
2022/08/01 16:10:00	3.2	북서	320	23.82	0.67	4.9	1.16	5.0	3.4	북북서	347	26.3	1007.7	-	126	
2022/08/01 16:15:00	2.8	북	354	23.91	0.59	4.9	0.99	5.0	2.1	북북서	336	26.1	1007.7	-	107	
2022/08/01 16:20:00	2.4	북서	310	23.76	0.64	5.0	0.90	4.5	2.3	북	1	25.9	1007.6	-	128	
2022/08/01 16:25:00	2.6	북서	307	23.79	0.52	4.8	0.70	5.0	3.1	북	358	25.8	1007.6	-	126	
2022/08/01 16:30:00	2.4	북서	321	23.77	0.69	5.2	1.03	5.0	3.0	북	10	25.8	1007.5	-	121	
2022/08/01 16:35:00	1.6	북	7	23.84	0.57	5.2	0.77	4.5	3.2	북	8	25.9	1007.6	-	120	
2022/08/01 16:40:00	3.2	북서	323	23.84	0.60	5.0	0.82	4.5	3.1	북북동	23	26.1	1007.6	-	111	
2022/08/01 16:45:00	0.9	북서	321	23.87	0.54	4.7	0.72	4.5	2.4	북북동	26	26.2	1007.5	-	116	
2022/08/01 16:50:00	3.7	북	351	23.74	0.59	5.0	0.83	5.0	1.8	북북동	32	26.0	1007.6	-	112	
2022/08/01 16:55:00	1.8	북서	320	23.74	0.55	4.8	0.72	5.0	2.7	북동	46	25.9	1007.4	-	125	
2022/08/01 17:00:00	2.4	서북서	290	23.66	0.52	5.1	0.72	5.0	2.3	북동	40	25.6	1007.4	-	119	
2022/08/01 17:05:00	1.6	북북동	27	23.67	0.52	4.9	0.99	5.0	1.9	북북동	31	25.5	1007.3	-	127	
2022/08/01 17:10:00	2.9	동북동	57	23.56	0.49	4.9	0.65	4.5	1.7	북동	45	25.6	1007.3	-	120	
2022/08/01 17:15:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2022/08/01 17:20:00	4.9	동	81	23.53	0.56	5.0	0.93	5.5	1.9	북동	36	25.4	1007.3	-	293	
2022/08/01 17:25:00	4.1	동북동	65	23.66	0.55	4.9	0.69	5.5	1.8	북북동	23	25.4	1007.2	-	120	
